Production,Usage,Plugload
0,36.18,8.84
0,38.9,8.84
0,38.99,8.84
0,41.01,8.92
3,38.14,9.12
10,31.68,9.31
46,25.33,9.31
29,22.61,9.86
39,22.14,9.86
26,23.44,10.44
42,23.71,10.44
39,23.82,10.44
55,24.87,10.44
0,29.13,10.39
0,30.68,10.09
0,31.35,9.79
0,32.17,9.57
0,32.8,9.57
0,34.69,9.57
0,31.65,9.03
0,31.71,8.92
289,739.81,228.16
0,32.47,8.84
0,34.56,8.84
0,35.68,8.84
0,36.52,8.84
0,63.55,8.84
0,82.95,12.46
0,126.41,12.85
7,166.01,38.73
29,253.39,107.18
23,250.56,112.58
23,247.33,112.74
75,260.15,112.74
62,235.48,98.8
78,250.51,105.99
75,250.28,105.99
16,250.32,101.49
36,236.83,92.5
0,175.49,63.69
0,111.07,42.1
0,103.15,42.1
0,83.53,34.76
0,77.71,32.06
0,34.23,12.78
0,21.72,8.92
424,3419.92,1294.69
0,21.49,8.84
0,21.39,8.84
0,21.44,8.84
0,21.5,8.84
0,24.37,8.84
0,35.47,12.46
0,39.45,12.85
3,105.92,38.73
16,279.54,107.18
33,301.92,112.58
46,291.19,112.74
72,280.18,112.74
46,254.91,98.8
36,255.69,105.99
36,247.82,105.99
29,242.55,101.49
33,218.21,92.5
0,172.7,63.69
0,112.1,42.1
0,103.9,42.1
0,83.23,34.76
0,77.47,32.06
0,34.33,12.78
0,21.81,8.92
350,3268.55,1294.69
0,21.31,8.84
0,21.42,8.84
0,21.49,8.84
0,21.52,8.84
0,24.32,8.84
0,35.53,12.46
0,39.78,12.85
10,102.82,38.73
26,257.66,107.18
42,280.1,112.58
52,268.98,112.74
49,262.62,112.74
39,244.79,98.8
36,258,105.99
36,256.8,105.99
42,269.42,101.49
55,262.86,92.5
0,177.17,63.69
0,112.66,42.1
0,103.92,42.1
0,83.3,34.76
0,78.11,32.06
0,34.48,12.78
0,21.86,8.92
387,3260.91,1294.69
0,21.33,8.84
0,21.35,8.84
0,21.45,8.84
0,21.58,8.84
0,53.14,8.84
0,62.52,12.46
0,67.44,12.85
29,128.64,38.73
91,271.48,107.18
